target,alt_target,ra,dec,tmag,priority,duration,comments
TIC 1613102970.0,8959002001907,272.2586394498477,-25.07922030280867,16.155279999999998,4,2,"P=0.24h, Amp=1.55mag, CVprob=0.98, Bulge"
TIC 406471966.0,9307147004655,271.0069358255655,-28.60606283622858,11.435887,4,2,"P=14.82h, Amp=2.04mag, CVprob=0.98, Bulge"
TIC 195953996.0,9245700004328,270.351160317567,-28.00295333491073,11.79593,4,2,"P=23.32h, Amp=1.37mag, CVprob=0.98, Bulge"
TIC 118695704.0,8848424000322,273.54868510339224,-23.942099705734663,12.269255,4,2,"P=9.50h, Amp=1.68mag, CVprob=0.98, Bulge"
TIC 1605244056.0,9212950009074,271.9219220674993,-27.641160420648287,14.370224,4,2,"P=4.79h, Amp=1.51mag, CVprob=0.98, Bulge"
TIC 377462333.0,9053217000668,272.941097810251,-26.065769562550816,11.674955,4,2,"P=3.18h, Amp=1.84mag, CVprob=0.98, Bulge"
TIC 249414188.0,8979487004448,272.7724009949021,-25.25160933914833,12.229341,4,2,"P=0.24h, Amp=2.05mag, CVprob=0.98, Bulge"
TIC 443743878.0,9196563011736,271.6632267261654,-27.464995465352096,11.503493,4,2,"P=23.16h, Amp=2.08mag, CVprob=0.98, Bulge"
TIC 406986000.0,9184268006122,271.0678562266029,-27.366025845150705,13.765617,4,2,"P=4.79h, Amp=1.23mag, CVprob=0.98, Bulge"
TIC 249635859.0,8950824000235,273.5176565961362,-24.962606571655865,13.791681,4,2,"P=9.50h, Amp=1.62mag, CVprob=0.98, Bulge"
TIC 1606516229.0,9143308010571,271.0922198401806,-26.97836681743009,14.408989,4,2,"P=22.44h, Amp=1.12mag, CVprob=0.98, Bulge"
TIC 1610043744.0,8967199000890,272.7254427494508,-25.160228965816557,16.009169999999997,4,2,"P=0.24h, Amp=1.05mag, CVprob=0.98, Bulge"
TIC 377360139.0,9028641027627,272.9476116639082,-25.785492362563883,11.569913,4,2,"P=23.65h, Amp=1.93mag, CVprob=0.98, Bulge"
TIC 443934245.0,9139221009769,271.8231819809691,-26.886785798694174,11.49719,4,2,"P=6.08h, Amp=1.74mag, CVprob=0.98, Bulge"
TIC 264717633.0,9032739006056,273.0958808325953,-25.818775127364237,11.7105055,4,2,"P=11.94h, Amp=1.41mag, CVprob=0.98, Bulge"
TIC 378136829.0,8852521000158,273.62143249729667,-23.994580797865343,13.43134,4,2,"P=9.50h, Amp=1.64mag, CVprob=0.98, Bulge"
TIC 248714807.0,9180184003471,272.14348909991776,-27.31358417872131,11.693968,4,2,"P=11.53h, Amp=1.72mag, CVprob=0.98, Bulge"
TIC 512945849.0,8999959007003,272.0159115710644,-25.49208543951484,12.254595,4,2,"P=9.45h, Amp=1.78mag, CVprob=0.98, Bulge"
TIC 443743878.0,9196563011736,271.6632267261654,-27.464995465352096,11.500879,4,2,"P=23.22h, Amp=1.83mag, CVprob=0.98, Bulge"
TIC 248550084.0,9081879001221,272.02823499793067,-26.33518119763218,13.588372,4,2,"P=11.94h, Amp=1.62mag, CVprob=0.98, Bulge"
TIC 196545404.0,9253894002724,270.53219624000747,-28.068095609892453,10.926989,4,2,"P=7.96h, Amp=2.13mag, CVprob=0.98, Bulge"
TIC 1612005740.0,8864808000426,273.59223424422373,-24.12640412859172,14.255811,4,2,"P=9.50h, Amp=1.85mag, CVprob=0.98, Bulge"
TIC 1603663774.0,9315335001603,270.6721171852457,-28.723432476162536,13.877711,4,2,"P=5.99h, Amp=1.18mag, CVprob=0.98, Bulge"
TIC 407803320.0,9253904000417,271.38948347875936,-28.10058040206689,13.943892,4,2,"P=5.99h, Amp=1.14mag, CVprob=0.98, Bulge"
TIC 407723086.0,9208848000992,271.41144934649407,-27.61585616618752,11.831642,4,2,"P=4.79h, Amp=1.86mag, CVprob=0.98, Bulge"
TIC 249451025.0,9045024000570,272.85851527096395,-25.94620472683558,11.765201,4,2,"P=3.18h, Amp=1.70mag, CVprob=0.98, Bulge"
TIC 1609938262.0,8983581004254,272.554046297486,-25.293224051721992,15.80717,4,2,"P=11.94h, Amp=1.67mag, CVprob=0.98, Bulge"
TIC 406385110.0,9315337011357,270.82920041017667,-28.723866909775804,11.809759,4,2,"P=15.90h, Amp=1.72mag, CVprob=0.98, Bulge"
TIC 1603741483.0,9307148008650,271.09169702876954,-28.60254944800175,11.642023,4,2,"P=7.96h, Amp=1.22mag, CVprob=0.98, Bulge"
TIC 443744704.0,9184274008695,271.62805171437884,-27.40107059583327,11.520182,4,2,"P=23.39h, Amp=1.77mag, CVprob=0.98, Bulge"
TIC 244537749.0,8754225019218,274.3209395342518,-23.02505445697997,12.246263,4,2,"P=1.55h, Amp=2.23mag, CVprob=0.98, Bulge"
TIC 1610131398.0,8926240030113,272.8078522912694,-24.738918676355624,14.836038,4,2,"P=8.09h, Amp=1.87mag, CVprob=0.98, Bulge"
