uniqueid,sourceid,ra,ra_error,dec,dec_error,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,chisq,uwe,Z-K,z_mean_mag-ks_mean_mag,z_mad_mag-ks_mad_mag,Y-K,y_mean_mag-ks_mean_mag,y_mad_mag-ks_mad_mag,J-K,j_mean_mag-ks_mean_mag,j_mad_mag-ks_mad_mag,H-K,h_mean_mag-ks_mean_mag,h_mad_mag-ks_mad_mag,ks_n_detections,ks_n_observations,ks_n_ambiguous,ks_n_chilt5,ks_med_mag,ks_mean_mag,ks_ivw_mean_mag,ks_chilt5_ivw_mean_mag,ks_std_mag,ks_mad_mag,ks_ivw_err_mag,ks_chilt5_ivw_err_mag,z_n_observations,z_med_mag,z_mean_mag,z_ivw_mean_mag,z_chilt5_ivw_mean_mag,z_std_mag,z_mad_mag,z_ivw_err_mag,z_chilt5_ivw_err_mag,y_n_detections,y_n_observations,y_med_mag,y_mean_mag,y_ivw_mean_mag,y_chilt5_ivw_mean_mag,y_std_mag,y_mad_mag,y_ivw_err_mag,y_chilt5_ivw_err_mag,j_n_detections,j_n_observations,j_med_mag,j_mean_mag,j_ivw_mean_mag,j_chilt5_ivw_mean_mag,j_std_mag,j_mad_mag,j_ivw_err_mag,j_chilt5_ivw_err_mag,h_n_detections,h_n_observations,h_med_mag,h_mean_mag,h_ivw_mean_mag,h_chilt5_ivw_mean_mag,h_std_mag,h_mad_mag,h_ivw_err_mag,h_chilt5_ivw_err_mag,mag_n,mag_avg,magerr_avg,Cody_M,stet_k,eta,eta_e,med_BRP,range_cum_sum,max_slope,MAD,mean_var,percent_amp,true_amplitude,roms,p_to_p_var,lag_auto,AD,std_nxs,weight_mean,weight_std,weight_skew,weight_kurt,mean,std,skew,kurt,time_range,true_period,true_class,best_fap,best_method,trans_flag,ls_p,ls_y_y_0,ls_peak_width_0,ls_period1,ls_y_y_1,ls_peak_width_1,ls_period2,ls_y_y_2,ls_peak_width_2,ls_q001,ls_q01,ls_q1,ls_q25,ls_q50,ls_q75,ls_q99,ls_q999,ls_q9999,ls_fap,ls_bal_fap,Cody_Q_ls,pdm_p,pdm_y_y_0,pdm_peak_width_0,pdm_period1,pdm_y_y_1,pdm_peak_width_1,pdm_period2,pdm_y_y_2,pdm_peak_width_2,pdm_q001,pdm_q01,pdm_q1,pdm_q25,pdm_q50,pdm_q75,pdm_q99,pdm_q999,pdm_q9999,pdm_fap,Cody_Q_pdm,ce_p,ce_y_y_0,ce_peak_width_0,ce_period1,ce_y_y_1,ce_peak_width_1,ce_period2,ce_y_y_2,ce_peak_width_2,ce_q001,ce_q01,ce_q1,ce_q25,ce_q50,ce_q75,ce_q99,ce_q999,ce_q9999,ce_fap,Cody_Q_ce,gp_lnlike,gp_b,gp_c,gp_p,gp_fap,Cody_Q_gp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,log_period,period_hours,inverse_period,period_to_amp_ratio,in_period_gap,flickering_index,outburst_indicator,color_slope,nir_excess,asymmetry_amp,cv_prob_trad,cv_prob_emb,cv_prob,is_cv_candidate,confidence,is_known_cv,distance_to_nearest_cv,norm_distance,embedding_similarity,blended_score,in_tic,tic_id,tic_tmag,separation_arcsec,has_tess_data,tess_sectors,not_in_tic_reason,cycle8_observable
14344000021920,10245080014344,266.47224321840685,1.804711976439249,-38.93840769282753,1.4688646638979306,351.46623456776774,-5.236972094706053,-0.059510547532284,2.352218106191019,-4.850396487900777,0.9077525324195608,-5.531313603692778,0.9289353519933308,710.841,1.063068,1.1221360000000011,1.0809440000000006,0.035317000000000015,0.8528880000000001,0.8160310000000006,0.026342000000000004,0.5396289999999997,0.5164089999999995,0.002923000000000009,0.2444279999999992,0.17141999999999946,-0.010682999999999998,324,328,0,317,15.294397,15.331493,15.290048,15.290048,0.16778,0.12258,0.00192,0.00192,8,16.416533,16.412437,16.37176,16.37176,0.173898,0.157897,0.005269,0.005269,8,8,16.147285,16.147524,16.117659,16.117659,0.161738,0.148922,0.005581,0.005581,12,12,15.834026,15.847902,15.867076,15.867076,0.181678,0.125503,0.004728,0.004728,11,12,15.538825,15.502913,15.519223,15.519223,0.169419,0.111897,0.007383,0.007383,358.0,15.316221,0.04674326,0.0043793847,0.8071899602691076,0.8779703936283085,101513804.52753276,0.4670846394984326,0.12431813,853.5017313218216,0.11205292,0.010910406,0.041312203,1.4269536590576202,2.752669424380896,0.03408897,0.55852616,1.0,0.0001053606550414,15.34707,0.1722303748017094,0.3121030321805166,2.7420323157774518,15.329487,0.16725092,0.4818931221961975,-0.1309552391403605,3398.8626183300003,0.2189240392403924,b'SPV?',0.20311359,b'LS',0.0,0.2189240392403924,0.3322270631474176,0.0008336114144222,0.1795130951309512,0.2845794328572527,0.0009298787327125,0.2804930249302493,0.196461479982715,0.0008886187590824,3.5420677629374707e-06,2.4444416033721205e-05,0.0002219079753243,0.0061895004201198,0.0147425142506162,0.0289523914683345,0.0895368676666904,0.1238395617333859,0.1623178877158732,0.20311359,3.8076344072110075e-28,0.995738669132635,0.2223951962637607,0.0440903,0.0299700000000004,0.3014154469388247,0.0458047,0.0199800000000003,0.1141261984677416,0.0497325,0.0199800000000003,0.05164125551,0.0558480595,0.0602833569999999,0.0639407,0.0646727,0.0652143,0.065994727,0.0661736432,0.06627760243,0.9709839,0.9957957863848246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9957359721086784,0.0,0.0,0.3724244205193029,499.99999999999983,0.98825324,0.9957829328181872,0.124707684,0.071350254,0.13804722,0.090322904,0.14916413,0.058202337,-0.015742544,-0.037934877,-0.00061099906,-0.21920857,-0.12057479,0.62954754,0.44586122,-0.84994465,0.23047869,0.034925945,0.3329831,-0.0224445,0.06719206,0.038929086,-0.0805722,-0.31905833,-0.085659906,-0.003859997,-0.4628824,-0.822378,0.061785765,-0.7708466,-0.8032587,-0.009480516,-0.040271085,-0.09223506,0.3732903,-0.09897766,-0.6113468,-0.6108817,0.1311302,0.04994699,-0.21621503,0.08412466,0.77664334,-0.16403545,-0.15816596,0.11123443,0.09463146,-0.077314556,0.7790573,-0.07281743,-0.1574993,0.20847215,-0.19513291,-0.31541586,-0.12463325,-0.00018245055,-0.26882064,0.040404305,-0.1797117,-0.23350902,-0.10470166,-0.122605264,0.28042108,0.32408148,0.23710114,0.34736457,-0.12107127,0.04103716,-0.20422892,-0.017545791,0.08217249,-0.04177612,-0.041875612,0.112989604,0.096105605,0.142324,-0.10084389,-0.1042167,-0.2015899,-0.04636316,0.075458996,-0.14386158,-0.17335695,-0.17862444,0.18784161,-0.21330477,0.22489926,0.14064789,-0.047219705,-0.04036226,0.24118885,0.36359435,0.052831694,0.03620139,-0.11168733,0.17267448,0.1977479,-0.02985,0.42613497,-0.11129464,-0.015594449,-0.23545246,-0.01740904,0.03436638,0.23661569,-0.020619614,-0.06636106,-0.0020231644,-0.049714964,0.13331944,0.69850963,-0.04242772,-0.21898855,-0.04570387,-0.031278186,0.028713569,-0.046939667,0.06434675,-0.011816122,-0.15129025,0.17315629,0.24140316,-0.017193642,0.015586476,-0.21357125,-0.27872652,0.1286115,0.12526095,0.16034997,-9.5133684e-05,-0.6597065475401741,5.254176941769417,4.567794397863896,0.15342056684936276,0,4.6513972966042214e-05,-0.09004994985337152,0.2912535000000007,0.13650219999999924,0.006249179022085958,0.7374644,0.5746309,0.98316133,True,0.98316133,False,0.44727182975934776,0.12651835650671414,0.8734816434932858,0.8734816434932858,True,153768027.0,17.0439,0.15635981159336804,False,,,False
21712000037813,8946626021712,264.6152311595509,1.0252705464052827,-24.965249922370177,1.0053045662481823,2.5363235265835686,3.4476763302577225,0.0448313958126425,1.375307090374846,1.8136286061265936,0.6400176949516755,-4.741216722420471,0.7503123656688176,284.69742,1.036499,1.0389210000000002,0.9875310000000006,-0.023307,0.7645320000000009,0.7163039999999992,-0.02095,0.5473490000000005,0.47599699999999956,-0.017473000000000002,0.583043,0.4497370000000007,0.10835,149,168,0,105,11.103159,11.152082,11.094458,11.091081,0.122145,0.026786,0.000714,0.000723,4,12.14208,12.139613,12.139199,12.139199,0.008515,0.003479,0.003718,0.003718,4,4,11.867691,11.868386,11.870125,11.870125,0.006898,0.005836,0.002841,0.002841,3,4,11.650508,11.628079,11.60703,11.60703,0.038492,0.009313,0.00403,0.00403,3,4,11.686202,11.601819,11.335833,11.297917,0.22186,0.135136,0.009771,0.010226,133.0,11.1336155,0.01863551,0.005694292,0.7918963560852801,1.8869232906853128,334415032.2690792,0.6363636363636364,0.17947923,232.33419448194468,0.020672798,0.0051947986,0.023414014,1.2059436416625982,1.8591248830159504,0.01296181,0.051715728,1.0,2.260740164589644e-05,11.1582985,0.0664314194271458,1.465305410744893,4.453273745722319,11.152276,0.057933826,1.5909684896469116,2.3395440773620795,2565.1051492500046,0.3778365583655836,b'SPV?',0.13082784,b'LS',0.0,0.3778365583655836,0.2115013119724441,0.0004198017420962,0.4803649536495365,0.2069426949659578,0.0003462939776883,0.1369352893528934,0.2056528091811835,0.0021304548644289,5.550887201047499e-06,3.46299410686408e-05,0.0004277577187131,0.0156884861475626,0.0429511673964646,0.0750527870266141,0.1475546072194268,0.1796169711788126,0.2010856927234512,0.13082784,0.0002053693668812,0.9956193690034398,0.0572950984043315,0.0279537,0.0298999999999978,0.3790233326763595,0.0285032,0.0199799999999998,0.3380616894970994,0.0308481,0.66933,0.03569890023,0.0438357406,0.0507324839999999,0.057089125,0.05851095,0.0596147,0.061446162,0.0619815108,0.0622691172799999,0.71648747,0.9956264940588672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9956205404476086,0.0,0.0,0.608346327472487,432.88705039505936,0.9808354,0.9956336612698148,0.1692017,-0.62673485,0.21036345,0.17438172,-0.25729102,-0.2594445,-0.12756535,-0.17545499,-0.4787423,0.7188466,-0.08895225,0.6773962,0.4476325,-0.8861297,0.16038808,0.24097177,-0.4514949,-0.39822936,0.29426122,-0.30830657,0.3970934,-0.16568571,-0.2491191,-0.029001188,0.8690349,-0.8514445,0.17623569,0.507783,-0.6287934,-0.25351545,0.080319144,0.10229038,0.6525639,0.3074978,-0.2429985,-0.40311822,0.45320338,0.6799282,0.42854658,0.07017814,0.57438374,0.16487972,-0.0460805,0.377198,0.041581236,-0.09082114,-0.12501538,-0.5673845,-0.26111642,0.19168727,-0.34246218,-0.24800141,-0.046950117,-0.41599637,-0.34346676,-0.2526782,0.26490316,-0.36581418,-0.038309373,0.29554817,0.36789882,0.32387027,-0.81341934,-0.91075927,0.09159157,0.007486812,-0.27816206,0.02870278,0.01707425,-0.0730978,-0.31679353,-0.009567588,0.094249554,0.36334667,0.084557265,0.1071049,0.36797094,-0.1924535,-0.0472412,-0.15542282,-0.28747356,-0.008043999,0.22284986,-0.2662935,0.22365679,0.22854477,0.0033790078,0.08780596,0.2378478,0.6450478,0.07480804,0.03046168,0.38389298,0.011932551,0.15791799,-0.3683768,0.38167343,-0.20626165,0.07434091,-0.36144263,-0.46915305,0.30513138,0.08292197,-0.038490344,-0.14819247,0.3134746,0.020074414,0.07394565,0.89994144,-0.047410674,-0.15986131,0.11517164,-0.068779275,-0.16386516,-0.13969293,0.2473917,0.2823342,-0.265588,0.26005217,0.15534562,0.13859749,0.03520688,-0.38587183,0.068454385,0.24151371,-0.10772216,0.057488013,0.33823162,-0.42269602331120804,9.068077400774007,2.6466470167040566,0.31331195365371445,0,2.1438243411590506e-05,4.488692160437982,0.24578599999999984,0.47357319999999986,0.006866995231170199,0.7451777,0.6037081,0.98475164,True,0.98475164,False,0.7857108175909886,0.222251513994619,0.7777484860053809,0.7777484860053809,True,200909220.0,12.8567,0.08064323684680785,False,,,False
11562000014923,9294843011562,269.5618895288743,0.8094154936686291,-28.48969635766937,0.5667018081656375,1.7960034006942442,-2.15417994945514,-0.658489163692716,0.989284089158738,-1.628622278550473,0.3644303621054978,-3.268469664486096,0.3624601047753672,617.2689,0.718109,1.2824170000000006,1.2746380000000013,-0.047042,0.9549149999999997,0.9471360000000004,-0.047993,0.5430980000000005,0.538901000000001,-0.02291,0.10009699999999988,0.1077950000000012,-0.033539,607,694,6,595,14.173802,14.181581,14.17639,14.17639,0.066185,0.048886,0.000735,0.000735,6,15.456219,15.456219,15.456682,15.456682,0.001844,0.001844,0.008039,0.008039,2,4,15.128717,15.128717,15.128401,15.128401,0.000893,0.000893,0.009152,0.009152,17,17,14.7169,14.720482,14.723621,14.723621,0.038638,0.025976,0.003127,0.003127,12,12,14.273899,14.289376,14.293248,14.293248,0.037865,0.015347,0.004322,0.004322,603.0,14.291375,0.025046906,0.0011186199,0.8300993742700457,1.1539950724393864,22019621.51153833,0.4766839378238341,0.08351144,654.5547725383326,0.04937458,0.004332165,0.02167205,0.6175057220458982,1.9523258407223183,0.015414361,0.4212559,1.0,1.4265726647183203e-05,14.297032,0.0641766347002357,0.4480271169462813,3.4238692094727825,14.293643,0.06192242,0.3792982399463653,-0.091372071829324,2788.2257214100027,0.1486736567365673,b'SPV?',0.2361485,b'LS',0.0,0.1486736567365673,0.1027846722356293,0.0009038022525746,0.1747178471784717,0.0947486226300113,0.0009816169655083,0.9974225542255422,0.0829350731667229,0.0004617099635457,7.046390848789893e-07,1.0102308742148042e-05,0.0001149876999785,0.0032435881090732,0.0072628083375865,0.0133441895989311,0.0386181910844619,0.0597779391765765,0.0802668907223511,0.2361485,4.8497916117708873e-11,0.9988665751670198,0.4952996067321122,0.0119884,0.1798200000000001,0.1646112212177279,0.0122022,0.0299699999999996,0.1891893425859534,0.0123272,0.0199800000000003,0.01245629811,0.0127644974,0.013085173,0.0134491,0.0135339,0.0135998,0.0137051,0.0137341,0.0137463021599999,0.59831244,0.9988779840019764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9988690246832814,0.0,0.0,0.2402148767408672,60.23854549168578,0.6598253,0.9988796360812066,0.14701301,-0.10842934,0.20700347,-0.01028426,0.25222915,0.13882409,-0.031953234,-0.03736063,0.106458806,-0.2688272,-0.17316724,0.57747394,0.44560444,-0.8430872,0.27709845,0.053241484,0.26845935,-0.09927622,0.0772461,-0.091968454,-0.15695995,-0.2948229,0.12757415,0.023356622,-0.48897663,-0.8227364,0.079576485,-0.8319335,-0.84079605,-0.19279957,0.06610454,-0.10896781,0.39979216,-0.13628983,-0.5097313,-0.59684545,0.0283508,0.351695,-0.23563258,-0.030239204,0.771,0.028037164,-0.038307585,0.123392195,0.19705278,-0.054176994,0.8296599,-0.055449896,-0.16530262,0.21770254,-0.21798044,-0.2771988,-0.10053067,0.16020681,-0.27651313,0.084531106,-0.113306634,-0.24833861,-0.13724881,-0.07718093,0.30240363,0.33027488,0.282662,-0.04969611,0.061983153,0.22000419,-0.01160389,0.021060845,0.11279411,-0.07699562,-0.1516867,0.12217299,-0.115989864,0.019658899,0.08521535,-0.2200639,-0.05731681,-0.13181387,0.023875967,-0.10448777,-0.07822391,-0.08639132,0.16774574,-0.29835194,0.37378743,0.12176104,-0.13689885,-0.055362113,0.2774512,0.5494949,0.13821985,0.0123595605,0.003525146,0.013641394,-0.07053344,-0.0887952,0.40041366,-0.011732429,0.010760251,-0.3014166,-0.14998904,-0.14439718,-0.003252943,-0.01667,0.20131941,-0.022931533,0.18601936,-0.055719435,0.8742445,0.098999776,-0.2185247,-0.2101036,0.09860224,-0.06000512,-0.09501619,-0.083450265,0.20048052,0.050511204,0.16929433,0.2396635,0.104017936,0.03086344,0.17654638,-0.024319435,0.09295882,-0.08300035,-0.010514069,0.10968964,-0.8277659766526765,3.568167761677615,6.7261411466584535,0.24076482440354882,0,8.25620512927006e-06,-0.021401060080975694,0.36965950000000003,-0.008522600000000227,0.0006907541890444105,0.73773474,0.6108203,0.98475164,True,0.98475164,False,0.7431089856557853,0.21020086961686515,0.7897991303831349,0.7897991303831349,True,1439414604.0,16.0676,0.023368391516373634,False,,,False
11683000096519,9188371011683,271.6472599284879,0.6807133361410563,-27.398867536022102,0.6154688823331731,3.653968894606128,-3.2214576495047558,7.367418677393701,0.9848113177359994,20.58742142538108,0.362591234354028,-61.06431647208197,0.4407270017188436,982.176,1.130138,1.5289850000000005,1.4472690000000004,-0.026175,1.2247810000000001,1.1399910000000002,-0.021716,1.1713450000000005,1.087859,0.18981,,,,517,662,0,293,10.962337,11.045823,10.952775,10.949287,0.175031,0.028257,0.000394,0.000397,4,12.491322,12.493092,12.491557,12.491557,0.005334,0.002082,0.003017,0.003017,4,4,12.187118,12.185814,12.183253,12.183253,0.009791,0.006541,0.003064,0.003064,3,4,12.133682,12.133682,11.978212,,0.218067,0.218067,0.018577,,1,4,,,,,,,,,357.0,11.026762,0.023109697,0.008390217,0.7816613768068158,1.6772094756346216,140298928.48904493,0.7620396600566572,0.13635656,1555.797041648328,0.021216393,0.0071222717,0.04986868,1.3360007476806626,1.8823380903764204,0.032061577,0.1689299,1.0,4.3595450463185e-05,11.06402,0.0897536707306105,1.7842389496002635,6.847687070876583,11.058873,0.0787643,2.075402975082397,6.035716566987505,2344.386587469998,0.9647449374493744,b'SPV?',0.19020382,b'LS',0.0,0.9647449374493744,0.0937569459263679,0.0003111805281064,0.4784968049680497,0.0792959285216689,0.0006542850822519,0.2002025920259201,0.0724186642426412,0.0017441217853715,1.1506074393104683e-06,1.4480523424932482e-05,0.0001350284055199,0.006316428729587,0.0162193011356329,0.0277561767745228,0.0642952530060705,0.079709480971895,0.0914709486671569,0.19020382,7.765142124081299e-05,0.9940758599228876,0.2034141022928837,0.0323488,0.0199800000000003,0.3450536558434837,0.033905,0.0399599999999997,0.0729006437126839,0.0345104,0.0199999999999995,0.03570609902,0.0385367379,0.040334676,0.0421595,0.04255565,0.0428607,0.043357927,0.0434902081,0.0435602051299999,0.27467108,0.9940760773878778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9940660856781682,0.0,0.0,0.73140054746458,475.5013996805837,0.5489767,0.9940931789565884,0.3849572,-0.6045504,0.2880217,5.2600466e-05,-0.076917216,-0.005293933,-0.21733344,-0.2546971,-0.48007298,0.7898761,0.10173372,0.6545487,0.4938033,-0.8518929,-0.1882665,0.17313378,-0.58803034,-0.4401273,0.361561,-0.5255219,0.7602874,-0.14452574,-0.17081715,0.0039386866,0.7337284,-0.8388888,0.26273537,0.490209,-0.7167255,-0.19912091,0.25288928,0.20093788,0.58181965,0.22129506,-0.18670462,-0.41926867,0.69743556,0.70051473,0.44399193,0.054239586,0.5196807,0.17789797,-0.03126524,0.40127048,0.19193327,-0.40659365,-0.0559779,-0.6547784,-0.28153208,0.2792916,-0.31443712,-0.25135767,-0.06566414,-0.25367635,-0.39322895,-0.1568825,0.14385228,-0.4013457,0.06858783,-0.12929362,0.475967,0.3151253,-0.86437917,-0.89935064,-0.3998782,0.11977375,0.16622885,0.36289555,-0.2236597,-0.063588694,0.05955257,0.116537414,0.06413409,-0.091667,0.04011104,-0.16422783,-0.26326475,-0.07519979,-0.36651203,-0.17441306,-0.100014605,0.20228553,0.20547467,-0.4802422,0.39044735,-0.02266058,-0.09621312,0.15389733,0.40760183,0.6271231,-0.17433885,-0.30410153,0.16967447,-0.2628641,-0.034985825,-0.109666966,0.35487008,0.1757423,0.3150512,-0.12143016,0.013210347,-0.05660933,0.043283522,-0.10200933,0.29899728,0.25318676,0.38752788,0.05013582,0.90795416,0.14686586,-0.3295936,-0.18714446,0.015838958,-0.07860681,-0.16657482,-0.30426884,-0.20573515,0.053323988,-0.002249064,0.20640904,0.121189505,-0.107984185,-0.0139033375,0.2139078,0.18191558,-0.097044066,0.1582821,-0.2274056,-0.015587491734093371,23.153878498784984,1.0365434024912679,0.7221140700139581,0,3.623087537598421e-05,16.73547231001446,0.17881999999999998,,0.011209336185203006,0.740624,0.6037081,0.98475164,True,0.98475164,False,0.7432651420836573,0.21024504108776454,0.7897549589122355,0.7897549589122355,True,443744740.0,12.9937,0.9090113485565012,False,,,False
11683000096523,9188371011683,271.6472599284879,0.6807133361410563,-27.398867536022102,0.6154688823331731,3.653968894606128,-3.2214576495047558,7.367418677393701,0.9848113177359994,20.58742142538108,0.362591234354028,-61.06431647208197,0.4407270017188436,982.176,1.130138,1.5289850000000005,1.4472690000000004,-0.026175,1.2247810000000001,1.1399910000000002,-0.021716,1.1713450000000005,1.087859,0.18981,,,,517,662,0,293,10.962337,11.045823,10.952775,10.949287,0.175031,0.028257,0.000394,0.000397,4,12.491322,12.493092,12.491557,12.491557,0.005334,0.002082,0.003017,0.003017,4,4,12.187118,12.185814,12.183253,12.183253,0.009791,0.006541,0.003064,0.003064,3,4,12.133682,12.133682,11.978212,,0.218067,0.218067,0.018577,,1,4,,,,,,,,,357.0,11.026762,0.023109697,0.008390217,0.7816613768068158,1.6772094756346216,140298928.48904493,0.7620396600566572,0.13635656,1555.797041648328,0.021216393,0.0071222717,0.04986868,1.3360007476806626,1.8823380903764204,0.032061577,0.1689299,1.0,4.3595450463185e-05,11.06402,0.0897536707306105,1.7842389496002635,6.847687070876583,11.058873,0.0787643,2.075402975082397,6.035716566987505,2344.386587469998,0.9647449374493744,b'SPV?',0.2319906,b'LS',0.0,0.9647449374493744,0.0937569459263679,0.0003111805281064,0.4784968049680497,0.0792959285216689,0.0006542850822519,0.2002025920259201,0.0724186642426412,0.0017441217853715,1.1506074393104683e-06,1.4480523424932482e-05,0.0001350284055199,0.006316428729587,0.0162193011356329,0.0277561767745228,0.0642952530060705,0.079709480971895,0.0914709486671569,0.2319906,7.765142124081299e-05,0.9940758599228876,0.2034141022928837,0.0323488,0.0199800000000003,0.3450536558434837,0.033905,0.0399599999999997,0.0729006437126839,0.0345104,0.0199999999999995,0.03570609902,0.0385367379,0.040334676,0.0421595,0.04255565,0.0428607,0.043357927,0.0434902081,0.0435602051299999,0.24106476,0.9940760773878778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9940660856781682,0.0,0.0,0.73140054746458,475.5013996805837,0.62105525,0.9940931789565884,0.33873576,-0.58224416,0.15495357,0.18070404,-0.09299269,-0.008797286,-0.15369415,-0.32424647,-0.65557873,0.86673874,0.39316586,0.71411526,0.5782363,-0.8614797,-0.41219485,0.24203306,-0.6588392,-0.41899374,0.4106848,-0.5050662,0.85855186,0.12670411,0.07029006,-0.36084732,0.73113465,-0.8414699,0.27357906,0.5807938,-0.68593585,-0.21797936,0.32368758,0.11154179,0.6300364,0.24416436,-0.1447439,-0.36028907,0.7135746,0.66620415,0.6580676,-0.2318231,0.4612447,0.0487651,-0.11141311,0.56454885,0.06535129,-0.4270327,-0.17407711,-0.71062535,-0.37360972,0.32819107,-0.41882116,-0.24732928,-0.121872224,-0.4343848,-0.40170136,0.092355855,0.02996777,-0.5431313,0.13571063,-0.082420014,0.49835616,0.2903544,-0.8605169,-0.8948177,-0.1817692,0.23347814,-0.33004674,-0.25977746,0.22988887,0.0737422,0.07269898,0.41755328,0.1992422,0.23783946,0.04012986,-0.15313965,0.17118989,0.04046002,-0.060119525,-0.12435903,-0.114487566,-0.22549027,0.2134998,-0.3559216,0.2308787,0.17450483,-0.18070939,0.36572966,0.14310658,0.6699811,-0.06494161,-0.08031067,-0.26231283,0.17048156,0.081094675,-0.046728637,0.4050226,-0.08092022,0.009453763,0.01630881,0.1733212,-0.33014742,0.2915393,0.39892083,-0.12784673,-0.037068773,-0.41821826,0.28507173,0.8929515,0.16280973,-0.19993347,-0.19547974,0.024744356,0.08749074,0.066149116,0.30668512,-0.049447373,-0.2083019,-0.15697303,0.25287256,-0.07637832,-0.060966875,-0.17306076,-0.15921545,0.37932163,0.07961948,0.18432263,0.19991718,-0.015587491734093371,23.153878498784984,1.0365434024912679,0.7221140700139581,0,3.623087537598421e-05,16.73547231001446,0.17881999999999998,,0.011209336185203006,0.740624,0.6037081,0.98475164,True,0.98475164,False,0.927461421555237,0.2623480554133803,0.7376519445866196,0.7376519445866196,True,443744740.0,12.9937,0.9090113485565012,False,,,False
