priority,sourceid,tic_id,ra,dec,l,b,mag_avg,true_period,true_amplitude,cv_prob,in_tic,has_tess_data,tess_sectors,in_bulge,period_hours
5,8946626021712,200909220.0,264.6152311595509,-24.965249922370177,2.5363235265835686,3.4476763302577225,11.1336155,0.3778365583655836,1.2059436416625982,0.98475164,True,False,,True,9.068077400774007
5,9188371011683,443744740.0,271.6472599284879,-27.398867536022102,3.653968894606128,-3.2214576495047558,11.026762,0.9647449374493744,1.3360007476806626,0.98475164,True,False,,True,23.153878498784984
5,9188371011683,443744740.0,271.6472599284879,-27.398867536022102,3.653968894606128,-3.2214576495047558,11.026762,0.9647449374493744,1.3360007476806626,0.98475164,True,False,,True,23.153878498784984
5,9114639009941,407709843.0,271.34998601043577,-26.659000165133847,4.17224142524168,-2.630171462983604,10.930119,0.2527141499706851,1.0115139007568263,0.98475164,True,False,,True,6.065139599296442
5,9323551021434,1590700547.0,272.74168769245097,-28.78900278463837,2.897675220758724,-4.736496157683489,15.563023,1.275116609413931,1.0538305282592777,0.98475164,True,False,,True,30.602798625934344
5,9655243001288,193000001.0,265.32827818672973,-32.29513012764177,356.65453445584376,-0.974507852439802,11.102298,0.5460398703987039,1.3561040878295891,0.98475164,True,False,,True,13.104956889568895
5,8901661008991,249131343.0,272.5208847464769,-24.50563155255139,6.570021707376721,-2.510367497220852,10.951805,0.0099532198666268,1.1473831462860051,0.98475164,True,False,,True,0.23887727679904322
5,8446951063040,381575575.0,267.8513036243616,-20.02976875268675,8.316490859231799,3.459923916567621,11.911025,0.1869457294572944,1.1753777408599824,0.98475164,True,False,,True,4.486697506975066
5,9315342003918,1603717024.0,271.2649724715006,-28.690978414342577,2.358488880216937,-3.554590541826117,15.578788,0.1621103411034109,1.0498931884765597,0.98475164,True,False,,True,3.8906481864818616
5,9462782017805,262803354.0,269.8844580231826,-30.26148302595945,0.3967796402454858,-3.2788413200096427,13.806397,0.1988348279084564,1.123006324768065,0.98475164,True,False,,True,4.772035869802954
5,9258003002925,1604682581.0,271.6980606559589,-28.09661136517364,3.0644528670828257,-3.599041495544831,15.898169,2.312075963987581,1.0719761371612575,0.98475164,True,False,,True,55.48982313570194
5,8811567001225,1612594509.0,274.1405063832403,-23.60344144903699,8.070495479814962,-3.379717243095781,15.699884,0.06450004500045,1.319705295562743,0.98475164,True,False,,True,1.5480010800108
5,9921579019389,61053317.0,273.8473713042285,-35.24578165847985,357.5928710813222,-8.585611272133098,16.320488,0.7010467104671048,1.4440739345550533,0.98475164,True,False,,True,16.825121051210516
5,9651239017791,60063449.0,273.47312836922805,-32.267478152932775,0.1130591376925565,-6.93274998512558,15.599497,0.4625236252362523,1.1186214256286622,0.98475164,True,False,,True,11.100567005670054
5,9184328006857,1596650853.0,276.3998440939392,-27.35270912553749,5.685107114463415,-6.92543544642653,15.877066,0.45690036900369,1.1208914089202882,0.98475164,True,False,,True,10.965608856088561
5,9122837001101,1606587589.0,271.87316091537195,-26.730008120340017,4.3375353713248215,-3.073185526723229,16.195255,0.9310953109531094,1.0408149147033685,0.98475164,True,False,,True,22.346287462874624
5,9102361002920,1608113437.0,272.2597536318723,-26.52474469597625,4.684735263491431,-3.276625614819791,15.662661,0.1649761497614976,1.1265118789672854,0.98475164,True,False,,True,3.9594275942759425
5,9458701013044,1588877354.0,271.1217259408135,-30.204026175399623,0.9728277019052072,-4.181944754824949,15.842951,0.0517190171901719,1.455342006683349,0.98475164,True,False,,True,1.2412564125641254
5,9282614013390,1594598239.0,274.79532423210344,-28.39634155707551,4.096863658039357,-6.143797422166046,15.556656,0.4178939789397894,1.430146141052246,0.98475164,True,False,,True,10.029455494554945
5,9552979005005,196956148.0,277.3752721118879,-31.21136470362872,2.5831019114076024,-9.412601831641492,14.985834,0.6310728107281073,1.4956721305847154,0.98475164,True,False,,True,15.145747457474574
5,9049110007457,1609333093.0,271.9729140011475,-25.98732868899507,5.031543939991836,-2.791804318720977,15.54381,0.1641148411484114,1.1661179828643782,0.98475164,True,False,,True,3.9387561875618737
5,9528277000361,110236826.0,266.2748357194141,-30.950149649978936,358.2226012416022,-0.9539233411158028,11.098936,0.4256259562595625,1.150278091430664,0.98475164,True,False,,True,10.2150229502295
5,9405457006541,1589427286.0,271.5677909367043,-29.65735027410016,1.6402085667826238,-4.254771152118826,16.45442,0.4130825308253082,1.2476110458374023,0.98475164,True,False,,True,9.913980739807396
5,9004093065694,1602605269.0,275.393671021504,-25.537774029703336,6.891171265919768,-5.292202885422392,15.807244,0.1708271082710827,1.4431625366210952,0.98475164,True,False,,True,4.099850598505984
5,9163830017872,1598887314.0,274.783672132448,-27.153622532543448,5.198616571625804,-5.557945401459388,15.373112,0.404469444694447,1.340401611328124,0.98475164,True,False,,True,9.707266672666728
5,9200672007731,1592675898.0,272.8455255990942,-27.53047518711456,4.051065480245402,-4.216806873560349,16.093819,0.1493933939339393,1.3951413822174068,0.98475164,True,False,,True,3.585441454414543
5,9036862013276,1602061432.0,275.49910181349827,-25.839322056947864,6.6668203955347405,-5.515969168265313,15.070669,0.1708271082710827,1.2141950130462629,0.98475164,True,False,,True,4.099850598505984
5,9323543035376,1591524839.0,272.05013166490096,-28.805670138926367,2.5918752293053515,-4.212467439285874,15.337012,0.4167653676536765,1.4433732986450174,0.98475164,True,False,,True,10.002368823688236
5,9626636019403,1567565057.0,271.0848832568753,-31.978849250354365,359.4009822160465,-5.016345426852551,16.048107,0.0645840464488462,1.4625894451141352,0.98475164,True,False,,True,1.550017114772309
