Name,RA (2000) ,DEC (2000) ,Object Type ,RA (deg),Dec (deg)
V1043 Cen ,13:13:17.14,-32:59:12.20,am ,198.32131124999998,-32.98678972222222
V812 Cen ,13:13:54.30,-57:40:44.00,n ,198.47556791666665,-57.67942111111111
NN Cen ,13:14:15.38,-60:52:44.40,ugss ,198.56416666666664,-60.87972222222222
V840 Cen ,13:20:49.25,-55:50:12.80,non-cv ,200.20609166666665,-55.83737722222222
V1047 Cen ,13:20:49.74,-62:37:50.50,n ,200.20725,-62.630694444444444
V803 Cen ,13:23:44.54,-41:44:29.70,ibwd ,200.93557874999996,-41.74151277777778
Cen ,13:26:26.61,-47:26:35.10,ug ,,
Cen ,13:26:38.26,-47:19:57.00,cv ,,
Cen ,13:26:52.10,-47:29:36.20,cv ,,
Cen ,13:26:53.50,-47:29:01.00,cv ,,
BV Cen ,13:31:19.48,-54:58:33.50,ug ,202.83129375,-54.976015833333335
LY Hya ,13:31:53.86,-29:40:59.40,ug ,202.97451875,-29.68308222222222
Mus ,13:35:29.91,-64:45:42.60,non-cv ,,
V890 Cen ,13:49:31.80,-47:54:40.00,nl ,207.38249999999996,-47.91111111111111
V868 Cen ,13:50:10.60,-63:08:52.00,n ,207.54457125,-63.147753055555555
V891 Cen ,13:50:29.20,-48:02:50.00,nl ,207.62124999999997,-48.04722222222222
V1039 Cen ,13:55:41.23,-64:15:57.10,na ,208.92198749999997,-64.26596055555555
BW Cir ,13:58:09.92,-64:44:04.90,non-cv ,209.54041666666663,-64.73494444444445
V834 Cen ,14:09:07.30,-45:17:16.20,am ,212.2803595833333,-45.28778416666667
V504 Cen ,14:12:49.10,-40:21:36.80,vy ,213.2045245833333,-40.360215833333335
Cir ,14:13:12.30,-65:20:13.00,am ,,
V895 Cen ,14:29:27.22,-38:04:09.50,am ,217.36332,-38.06932833333334
GY Hya ,14:30:30.47,-25:52:38.00,ug ,217.62696374999996,-25.87721861111111
HY Lup ,14:31:50.21,-51:10:32.30,n ,217.95905499999998,-51.17570388888889
V842 Cen ,14:35:52.55,-57:37:35.30,n ,218.96903458333333,-57.6264975
X Cir ,42:44.00,-65:12:27.00,nb ,220.6958333333333,-65.21000000000001
