Name,RA,Dec,Object Type 
V4745 Sgr ,18:40:02.55,-33:26:55.60,n 
V949 Sgr ,18:41:03.22,-28:09:35.70,non-cv 
V3774 Sgr ,18:41:41.18,-32:54:33.90,ug 
V693 CrA ,18:41:57.80,-37:31:14.00,na 
Pav ,18:42:29.73,-61:51:45.10,non-cv 
V2383 Sgr ,18:42:49.87,-19:01:36.90,non-cv 
V1709 Sgr ,18:42:50.25,-19:47:47.80,non-cv 
BD Pav ,18:43:11.90,-57:30:44.90,ug 
V2032 Sgr ,18:43:47.17,-27:34:01.10,non-cv 
AK Tel ,18:43:48.82,-55:00:22.50,non-cv 
V2038 Sgr ,18:45:20.46,-26:27:47.40,non-cv 
V522 Sgr ,18:48:00.49,-25:22:27.00,n/ug 
V4332 Sgr ,18:50:36.70,-21:23:29.60,non-cv 
V4368 Sgr ,18:54:40.32,-19:41:59.80,non-cv 
V1223 Sgr ,18:55:02.31,-31:09:49.60,dq 
Sgr ,18:55:02.45,-30:28:57.50,am/dq 
Sgr ,18:55:02.66,-30:28:41.50,am/dq 
Sgr ,18:55:02.76,-30:28:53.00,am/dq 
Sgr ,18:55:02.96,-30:28:45.00,am/dq 
Sgr ,18:55:03.48,-30:28:47.40,am/dq 
Sgr ,18:55:03.65,-30:28:41.10,am/dq 
Sgr ,18:55:03.89,-30:28:38.00,am/dq 
V4743 Sgr ,19:01:09.32,-22:00:06.20,na 
V1082 Sgr ,19:07:21.87,-20:46:50.30,vy 
V1089 Sgr ,19:08:46.38,-17:21:46.70,ug 
Pav ,19:10:40.24,-59:58:42.30,cv 
Pav ,19:10:40.49,-60:00:06.70,cv 
Pav ,19:10:51.20,-59:59:12.80,cv 
Pav ,19:10:51.29,-59:59:05.90,cv 
Pav ,19:10:51.37,-59:59:27.80,cv 
Pav ,19:10:51.86,-59:58:56.60,cv 
Pav ,19:10:51.94,-59:58:01.50,cv 
Pav ,19:10:52.40,-59:59:06.00,cv 
Pav ,19:10:54.83,-59:59:15.00,cv 
Pav ,19:10:56.04,-59:57:47.20,cv 
Pav ,19:10:56.35,-59:59:37.10,cv 
V363 Sgr ,19:11:16.30,-29:50:00.00,na 
V344 Pav ,19:16:09.58,-62:35:53.10,ugsu 
V729 Sgr ,19:16:49.10,-26:14:33.70,ug 
V730 Sgr ,19:23:00.98,-28:29:37.50,ug 
Tel ,19:28:32.60,-50:01:34.00,am 
V345 Pav ,19:35:42.90,-59:08:22.40,ux 
QS Tel ,19:38:35.80,-46:12:56.60,am 
Sgr ,19:39:41.92,-30:55:45.90,cv 
Sgr ,19:40:08.59,-30:58:51.10,ug 
Sgr1 ,43:57.00,-40:26:00,n 
V3885 Sgr ,19:47:40.53,-42:00:26.40,ux 
Sgr3 ,19:55:46.84,-20:30:54.90,non-cv 
V348 Pav ,19:56:48.20,-60:34:28.10,nl 
V393 Pav ,19:57:11.48,-57:38:22.10,am 
V4140 Sgr ,19:58:49.68,-38:56:12.40,ugsu 
RR Tel ,20:04:18.53,-55:43:33.20,non-cv 
Sgr ,20:05:51.12,-29:34:59.90,ug 
V349 Pav ,20:08:55.86,-65:27:43.50,am 
AX Cap ,20:08:57.01,-17:16:38.10,ugsu 
V4738 Sgr ,20:22:37.53,-39:54:12.80,am 
Cap1 ,20:22:42.26,-21:07:54.70,cv 
Cap ,20:24:59.47,-22:33:23.10,cv 
V2276 Sgr ,20:26:22.16,-43:40:32.00,ug 
KK Tel ,20:28:38.52,-52:18:45.00,ugsu 
TU Ind ,20:33:10.59,-45:26:00.50,ug 
TT Ind ,20:33:37.08,-56:33:44.60,ugz 
CM Mic ,20:36:54.64,-43:22:31.50,ug 
UY Mic ,20:44:53.64,-38:39:24.60,cv 
Mic ,20:56:00,-30:14:00,cv 
CD Ind ,21:15:40.97,-58:40:53.60,am 
Ind ,21:21:26.53,-54:04:34.70,nl 
CH Gru ,21:28:35.08,-42:32:31.30,n 
CI Gru ,21:33:06.85,-42:28:52.00,ug 
Cap3 ,21:34:06.10,-18:51:46.30,nl? 
CE Gru ,21:37:56.43,-43:42:13.60,am 
Cap2 ,21:39:58.40,-23:11:44.00,ug 
CF Gru ,21:41:22.98,-45:04:31.40,ug 
II Aqr ,22:16:27.60,-20:27:25.20,ug 
PsA ,22:18:56.46,-28:16:18.10,cv 
PsA ,22:24:16.26,-29:24:21.70,cv 
VZ Gru ,22:33:50.23,-50:12:23.50,non-cv 
PsA ,22:43:19.69,-29:33:27.20,cv 
RZ Gru ,22:47:12.00,-42:44:38.70,ux 
TY PsA ,22:49:39.87,-27:06:53.30,ugsu 
PsA ,22:51:15.23,-28:40:46.20,cv 
PsA ,22:56:47.85,-27:43:25.10,cv 
AN Gru ,23:07:55.20,-47:25:40.40,non-cv 
CP Tuc ,23:15:18.99,-59:10:28.90,am 
CC Scl ,23:15:31.91,-30:48:47.50,ugsu 
Scl1 ,23:18:34.23,-29:58:08.90,non-cv 
VY Scl ,23:29:00.48,-29:46:45.90,vy 
EH Aqr ,23:34:06.01,-22:48:42.90,ug 
VZ Scl ,23:50:09.24,-26:22:52.70,vy 
Scl ,23:50:30.62,-31:27:33.60,cv 
BW Scl ,23:53:00.82,-38:51:46.00,ugwz/dq 
Phe ,23:54:20.46,-47:00:19.70,ug 
Scl ,23:57:03.15,-31:49:10.40,cv 
