Name,RA,Dec,Object Type 
Ara ,17:40:42.48,-53:40:17.40,ug/dq 
Ara ,17:40:42.56,-53:40:25.70,cv 
Ara ,17:40:42.98,-53:40:12.60,cv 
Ara ,17:40:44.05,-53:40:39.60,cv 
Ara ,17:40:45.74,-53:40:42.00,cv 
Ara ,17:40:47.82,-53:41:27.70,cv 
Ara ,17:40:48.95,-53:39:48.90,cv 
Ara ,17:40:52.81,-53:41:21.90,cv 
AE Ara ,17:41:04.91,-47:03:27.30,non-cv 
V1012 Oph ,17:41:34.38,-23:23:33.10,n 
V2024 Oph ,42:21.00,-24:59:00,n 
V721 Sco ,17:42:29.09,-34:40:41.50,n 
V553 Oph ,17:42:53.50,-24:51:26.20,na 
V2290 Oph ,17:43:05.50,-20:06:55.00,na 
V2110 Oph ,17:43:33.38,-22:45:35.30,nb/z an 
V916 Sco ,17:43:54.61,-36:03:27.00,non-cv 
KP Sco ,17:44:16.47,-35:43:23.60,na 
V1188 Sco ,17:44:21.59,-34:16:35.70,n 
V734 Sco ,17:45:02.37,-35:38:07.00,n or m 
Sgr ,17:45:08.60,-25:44:01.00,n 
Sgr ,17:45:32.70,-29:05:52.00,am 
V719 Sco ,17:45:43.80,-34:00:54.20,na 
Sgr ,17:46:37.38,-22:45:08.60,ug 
Sco ,17:46:47.20,-36:39:51.40,ug 
Sco ,17:47:16.32,-35:01:38.80,ug 
V4744 Sgr ,17:47:21.63,-23:28:21.40,na 
Sgr ,17:47:32.94,-23:27:23.90,ugsu 
Sco ,47:38.00,-33:11:55.00,n 
Sco ,17:47:54.19,-35:24:36.60,ug 
Sgr ,17:48:03.54,-24:46:49.20,cv 
Sgr ,17:48:04.06,-24:46:40.50,cv 
Sgr ,17:48:04.21,-24:46:41.70,cv 
Sgr ,17:48:04.37,-24:47:03.70,cv 
Sgr ,17:48:04.40,-24:46:38.10,cv 
Sco ,17:48:25.57,-36:47:49.10,ug 
V707 Sco ,17:48:26.38,-36:37:54.90,na 
V722 Sco ,48:37.00,-34:57:50.00,na 
Sco ,17:48:38.54,-37:20:49.80,ug 
V3888 Sgr ,17:48:40.55,-18:45:36.80,n 
Sgr ,17:48:51.87,-20:21:33.90,cv 
Sgr ,17:48:51.99,-20:21:46.60,cv 
Sgr ,17:48:52.08,-20:21:23.60,cv 
Sgr ,17:48:52.31,-20:21:34.30,cv 
Sgr ,17:48:52.43,-20:21:38.50,cv 
Sgr ,17:48:52.54,-20:21:34.70,cv 
Sgr ,17:48:52.58,-20:21:32.60,cv 
Sgr ,17:48:52.68,-20:21:36.70,cv 
Sgr ,17:48:52.71,-20:21:38.20,cv 
Sgr ,17:48:52.73,-20:21:41.60,cv 
Sgr ,17:48:52.85,-20:21:33.60,cv/lmxb 
Sgr ,17:48:52.87,-20:21:31.30,cv 
Sgr ,17:48:52.89,-20:21:35.50,cv 
Sgr ,17:48:52.90,-20:21:49.90,cv 
Sgr ,17:48:52.94,-20:21:39.60,cv 
Sgr ,17:48:53.12,-20:21:27.00,cv 
Sgr ,17:48:53.21,-20:21:33.40,cv 
Sgr ,17:48:53.23,-20:21:44.00,cv 
Sgr ,17:48:53.32,-20:21:41.70,cv/lmxb 
V1274 Sgr ,48:55.00,-17:52:00,n/sn 
V3964 Sgr ,17:49:42.55,-17:23:35.40,na 
V825 Sco ,17:49:53.65,-33:32:13.70,n 
V723 Sco ,17:50:05.20,-35:23:57.80,na/nra 
V759 Sgr ,17:50:19.69,-27:25:02.40,ux/ug 
V1172 Sgr ,17:50:23.55,-20:40:30.30,n 
Sgr ,17:50:36.09,-30:01:46.60,na 
Sco ,17:50:36.66,-32:55:25.80,ug 
Sco ,17:50:59.96,-33:33:37.50,ug 
V697 Sco ,17:51:21.83,-37:24:55.20,na/dq 
V977 Sco ,17:51:50.35,-32:32:00.10,n 
V382 Sco ,17:51:56.13,-35:25:05.40,n 
V720 Sco ,51:58.00,-35:23:22.00,n 
Sco ,17:51:59.68,-32:49:09.10,ug 
KW Sgr ,17:52:00.80,-28:01:21.00,non-cv 
Sco ,17:52:27.08,-32:59:09.90,ug 
V4334 Sgr ,17:52:32.69,-17:41:07.70,non-cv 
V696 Sco ,17:53:11.51,-35:50:15.40,na 
V2415 Sgr ,53:12.00,-29:34:25.00,n 
V744 Sco ,17:53:18.08,-31:13:35.10,n 
Sco ,53:40.00,-30:45:32.00,n 
Sgr ,17:53:40.45,-29:33:44.10,ug 
V4092 Sgr ,17:53:41.99,-29:02:08.40,n 
Sgr ,17:53:47.73,-29:44:37.90,ugsu 
V711 Sco ,54:06.00,-34:21:16.00,n 
Sco ,54:11.00,-30:48:51.00,non-ex 
V1141 Sco ,17:54:11.20,-30:02:52.00,n 
V4643 Sgr ,17:54:40.46,-26:14:15.20,na 
Sgr ,54:43.00,-28:41:41.00,n 
Sgr ,17:55:05.98,-29:20:32.70,cv 
V4642 Sgr ,17:55:09.84,-19:46:01.00,na 
V745 Sco ,17:55:22.25,-33:14:59.50,nra 
V1142 Sco ,17:55:24.99,-31:01:41.50,na 
V732 Sgr ,17:56:07.49,-27:22:17.90,na 
Sco ,17:56:21.61,-31:05:41.80,ug 
V960 Sco ,17:56:34.14,-31:49:36.30,n 
Sco ,17:56:45.15,-30:43:03.20,ug 
V1178 Sco ,17:57:06.92,-32:23:05.00,na 
Sgr ,17:57:08.68,-35:15:38.40,non-cv 
V990 Sgr ,57:19.00,-28:19:07.00,na 
Sco ,17:57:52.03,-31:05:10.20,ugsu 
V3889 Sgr ,17:58:21.32,-28:21:52.70,na 
Sgr ,17:58:32.45,-27:52:44.40,ug 
Sgr ,17:58:53.58,-29:18:59.70,ug 
V2435 Sgr ,17:58:54.98,-29:00:37.80,non-cv 
V1275 Sgr ,17:59:06.31,-36:18:40.60,na 
Sgr ,17:59:16.52,-42:35:07.00,ugsu 
V4338 Sgr ,17:59:18.17,-29:09:52.90,ug 
V2446 Sgr ,17:59:23.31,-29:02:16.70,non-cv 
V4683 Sgr ,17:59:39.61,-25:13:30.30,non-cv 
V4135 Sgr ,17:59:45.08,-32:16:20.80,n 
V2468 Sgr ,17:59:48.54,-29:01:03.70,UG 
V735 Sgr ,17:59:51.82,-29:33:55.90,ugz 
V4741 Sgr ,17:59:59.63,-30:53:20.50,na 
Sgr ,18:00:01.22,-29:50:38.50,ug 
Sgr ,18:00:01.25,-29:02:06.40,cv 
V787 Sgr ,18:00:02.20,-30:30:30.90,na 
V999 Sgr ,18:00:05.59,-27:33:14.00,nb 
Sgr ,18:00:12.02,-30:05:15.90,ug 
V394 CrA ,18:00:25.97,-39:00:35.10,nrb 
FL Sgr ,18:00:30.20,-34:36:13.10,na 
V1944 Sgr ,18:00:36.90,-27:17:12.00,n 
V2493 Sgr ,18:00:40.93,-29:00:12.80,non-cv 
Sgr ,18:00:51.55,-29:56:52.00,ugsu 
V551 Sgr ,18:00:56.50,-34:35:45.00,ugsu 
Sgr ,18:01:00.00,-28:24:18.20,ug 
Sgr ,18:01:14.89,-28:36:24.00,ug 
Sgr ,18:01:15.62,-27:27:47.20,ug 
Sgr ,18:01:20.13,-28:25:57.30,ug 
KY Sgr ,18:01:20.90,-26:24:40.90,na 
Sgr ,18:01:32.71,-28:52:23.90,ug 
Sgr ,18:01:35.45,-29:07:30.60,ugsu 
V1174 Sgr ,01:37.00,-28:44:26.00,n 
V384 Sco ,18:01:43.15,-35:39:27.80,n 
Sgr ,18:01:56.22,-27:22:55.20,n 
Sgr ,18:02:05.03,-28:18:33.30,ug 
V4742 Sgr ,18:02:21.86,-25:20:32.20,na 
Sgr ,18:02:25.95,-29:39:40.60,cv 
V4027 Sgr ,18:02:29.21,-28:45:19.90,n 
Sgr ,18:02:40.21,-29:19:20.10,cv 
Sgr ,18:02:51.70,-29:15:13.90,ug 
Sgr ,18:03:01.33,-28:01:45.10,cv 
V5099 Sgr ,18:03:06.09,-27:30:44.80,ugsu 
Sgr ,18:03:24.67,-28:17:23.50,ug 
V1431 Sgr ,18:03:29.61,-29:59:54.90,n 
AT Sgr ,18:03:30.87,-26:28:28.50,na 
V4579 Sgr ,18:03:37.84,-28:00:07.50,nb 
Sgr ,18:03:57.15,-27:52:42.90,ug 
Sgr ,18:03:58.77,-28:47:39.30,ug 
V1502 Sgr ,18:04:22.86,-30:06:47.10,non-cv 
Sgr ,18:04:34.47,-30:05:11.60,ug 
Sgr ,18:04:47.20,-27:07:48.30,ugsu 
Sgr ,18:04:51.67,-28:11:46.10,ug 
Sgr ,18:05:07.12,-27:43:09.10,ug 
Sgr ,18:05:08.58,-29:16:52.00,ug 
Sgr ,05:12.00,-29:54:23.00,n 
Sgr ,18:05:32.38,-28:50:57.20,ug 
Sgr ,18:05:34.36,-29:12:04.60,ugsu 
Sgr ,18:05:34.86,-28:30:04.70,ug 
V1572 Sgr ,05:37.00,-31:37:43.00,n 
Sgr ,18:05:53.59,-28:03:29.80,cv 
Sgr ,18:06:11.57,-28:07:46.30,ug 
V1012 Sgr ,18:06:14.00,-31:44:26.90,na 
V1014 Sgr ,18:06:45.70,-27:26:15.30,na 
V908 Sgr ,18:07:08.66,-28:44:52.30,999
V737 Sgr ,18:07:08.72,-28:44:52.10,n 
Sgr ,18:07:10.64,-26:57:06.60,ug 
Sgr ,18:07:17.88,-25:52:56.90,ug 
Sgr ,18:07:31.11,-22:05:33.10,non-cv 
Sgr ,18:07:32.11,-31:23:56.30,ug 
Sgr ,18:07:33.83,-29:00:37.80,cv 
V4444 Sgr ,18:07:36.22,-27:20:13.50,na/nr 
Sgr ,18:07:36.95,-27:20:09.10,ug 
V927 Sgr ,18:07:42.70,-33:21:17.40,na 
V617 Sgr ,18:07:50.89,-35:10:24.90,nlv 
Sgr ,18:07:51.71,-25:53:55.50,ug 
V4121 Sgr ,18:07:54.77,-28:49:26.80,n 
Sgr ,18:07:57.21,-27:33:28.80,ug 
Sgr ,18:07:57.61,-29:18:14.60,ug 
Sgr ,18:08:07.97,-26:13:14.40,ug 
Sgr ,18:08:13.35,-27:18:00.90,ug 
KY Ara ,18:08:21.98,-54:56:17.30,ug 
Sgr ,18:08:24.97,-32:19:42.10,ugsu 
Sgr ,18:08:30.52,-25:21:49.20,ug 
Sgr ,18:08:42.14,-31:42:34.70,ug 
V630 Sgr ,18:08:48.25,-34:20:21.40,na 
Sgr ,18:08:50.26,-26:10:57.40,ug 
Sgr ,18:08:50.65,-27:01:28.10,ug 
Sgr ,18:08:51.20,-26:16:12.00,non-cv 
V1015 Sgr ,09:03.00,-32:28:16.00,na 
V1148 Sgr ,09:06.00,-25:59:32.00,n 
Sgr ,18:09:12.52,-31:41:09.50,ug 
Sgr ,18:09:13.79,-29:47:36.40,cv 
V4157 Sgr ,18:09:34.90,-25:51:58.20,na 
Sgr ,18:09:36.02,-30:37:20.40,ug 
Sgr ,18:09:52.27,-26:30:21.60,ugsu 
Sgr ,18:09:58.18,-26:20:58.60,ug 
V5113 Sgr ,18:10:10.42,-27:45:35.20,n 
Sgr ,18:10:17.16,-26:41:10.00,ug 
Sgr ,18:10:30.87,-27:27:26.70,ug 
Sgr ,18:10:35.23,-26:23:38.60,ug 
Sgr ,18:10:37.44,-26:20:00.10,ug 
V2506 Sgr ,18:11:01.68,-28:32:39.00,non-cv 
Sgr ,18:11:19.54,-25:49:45.70,ug 
V4740 Sgr ,18:11:45.98,-30:30:49.50,na 
Sgr ,18:11:51.18,-26:26:48.60,ug 
Sgr ,18:11:58.88,-30:43:54.00,cv 
Sgr ,18:12:20.91,-26:14:02.90,ug 
V4327 Sgr ,18:12:49.82,-29:29:04.90,na 
Sgr ,18:13:21.75,-27:48:36.60,ug 
V1830 Sgr ,18:13:50.63,-27:42:20.80,ug 
Sgr ,18:13:51.50,-26:07:35.20,ug 
V4160 Sgr ,18:14:13.83,-32:12:28.50,na 
V1175 Sgr ,14:17.00,-31:07:08.00,n 
V3909 Sgr ,18:14:22.01,-27:51:04.80,non-cv 
Sgr ,18:14:34.84,-22:37:42.40,ug 
Sgr ,18:14:42.54,-26:22:10.30,ug 
V3914 Sgr ,18:14:49.01,-30:43:29.00,non-cv 
V1583 Sgr ,18:15:26.30,-23:23:18.20,na 
Sgr ,18:15:34.42,-23:59:12.60,ug 
Sgr ,18:15:41.56,-22:56:22.80,ug 
Sgr ,18:15:46.93,-22:58:47.80,ug 
Sgr ,18:15:47.28,-23:17:29.70,ug 
Sgr ,18:15:54.30,-23:42:23.50,ug 
V2323 Sgr ,18:15:54.97,-27:57:08.40,non-cv 
Sgr ,18:15:57.73,-25:15:33.10,ug 
V4074 Sgr ,18:16:05.30,-30:51:15.00,nb/z an 
Sgr ,18:16:05.96,-23:02:38.90,cv 
V370 CrA ,18:16:13.02,-39:03:52.60,non-cv 
Sgr ,18:16:17.87,-23:38:55.60,ug 
V2839 Sgr ,18:16:19.29,-31:42:09.80,UG 
V2329 Sgr ,18:16:25.15,-27:52:57.50,non-cv 
Sgr ,18:16:33.59,-23:52:03.20,ug 
